@relation 'project-crime-binary-weka.filters.supervised.instance.Resample-B0.0-S1-Z14.16-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R7,9,14,38,44-50,78,93,96,99-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-2,5-9,11-12,14,16,18-24,26-34,36,38-39,41-56,60-62,64-65,67-86'

@attribute pctBlack numeric
@attribute pctWhite numeric
@attribute medIncome numeric
@attribute pctWdiv numeric
@attribute pctPubAsst numeric
@attribute medFamIncome numeric
@attribute persPoverty numeric
@attribute pctMaleDivorc numeric
@attribute pctFemDivorc numeric
@attribute pctKidsBornNevrMarr numeric
@attribute pctPersOwnOccup numeric
@attribute pctPopDenseHous numeric
@attribute pctSmallHousUnits numeric
@attribute pctHousOwnerOccup numeric
@attribute pctHousWOphone numeric
@attribute Class {0,1}

@data
0.29,93.76,21762,34.71,11.64,28750,2965,14.49,15.93,3.63,60.23,2.73,52.64,57.03,7.9,0
24.51,73.76,22279,33.15,14.23,27543,44544,12.24,15.74,6.73,62.16,1.56,44.95,58.74,4.98,0
5.64,59.89,17897,24.83,12.86,21433,6570,12.06,15.63,7.41,45.03,17.57,61.77,47.37,12.69,0
54.99,44.22,21885,25.35,15.66,26230,21011,11.74,17.3,10.59,47.41,7.49,47.5,47.16,11.68,0
20.65,75.51,25152,44.7,8.17,34493,16903,9.75,11.68,8.96,42.85,2.21,54.67,38.3,6.74,0
0.34,96.13,24474,40.85,8.4,29820,4238,13.47,16.97,2.89,54.38,3.55,52.1,51.92,5.63,0
8.45,90.6,14868,28.09,18.17,19744,4434,13.54,16.87,3.67,56.43,2.67,54.85,55.9,11.42,0
2.98,78.24,27555,43.39,5.48,33746,52903,12.19,16.37,3.69,61.91,4.91,50.61,57.33,6.53,0
49.29,49.64,18546,27.78,14.61,23151,13710,11.47,16.1,9.08,56.95,5.54,48.37,56.64,10.81,0
0.22,99.04,32624,51.51,3.56,37788,580,7.61,10.53,0.56,72.54,0.75,42.58,67.79,0.68,0
0.66,97.59,22497,47.71,5.56,31494,3772,6.02,7.47,2.33,68.49,1.81,53.83,63.6,3.52,0
